status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
,,Single Family,12719 Ashford Creek Dr,3,"{'atAGlanceFacts': [{'factValue': '1981', 'factLabel': 'Year built'}, {'factValue': '1981', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '5,005 sqft', 'factLabel': 'lotsize'}, {'factValue': '$84', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['4/10', '6/10', '4/10'], 'data': {'Distance': ['0.9 mi', '2.1 mi', '1.6 mi'], 'Grades': ['PK-4', '7-8', '9-12']}, 'name': ['Heflin Elementary School', ""O'donnell Middle School"", 'Elsik High School']}]","2,309",77082,4,TX,2.0,,,4084553,"$194,900"
for sale,,coop,6837 108th St #4F,,"{'atAGlanceFacts': [{'factValue': '1939', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.46 acres', 'factLabel': 'lotsize'}, {'factValue': '$6/sqft', 'factLabel': 'Price/sqft'}]}",,Forest Hills,"[{'rating': ['5/10', '8/10', '10/10'], 'data': {'Distance': ['0.26mi', '0.55mi', '0.5mi'], 'Grades': ['9-12', '6-9', 'PK-5']}, 'name': ['Forest Hills High School', 'Jhs 157 Stephen A Halsey', 'Ps 196 Grand Central Parkway']}]","71,838 sqft",11375,,NY,,,,3153584,"$440,000"
Active,,Condo/Townhome/Row Home/Co-Op,1025 S Shepherd Dr Unit 102,2,"{'atAGlanceFacts': [{'factValue': '1998', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central Electric, Zoned', 'factLabel': 'Cooling'}, {'factValue': '2', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$282', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['4', '10', '5', '10', '8', '7', 'NR', 'NR'], 'data': {'Distance': ['0.8 mi', '1.0 mi', '1.5 mi', '0.9 mi', '1.0 mi', '0.6 mi', '0.5 mi', '0.9 mi'], 'Grades': ['PK–8', '6–8', '9–12', 'PK–5', 'PK–8', '9–12', '9–12', 'PK–8']}, 'name': ['Wilson Montessori School', 'Lanier Middle School', 'Lamar High School', 'River Oaks Elementary School', 'Wharton Dual Language Academy School', 'Law Enfcmt-Crim Just High School', 'St Thomas Private School', 'St Anne Catholic Private School']}]",2658,77019,2.0,TX,,,,71547992,"$750,000"
for sale,,townhouse,4430 N Michigan Ave,4 Baths,"{'atAGlanceFacts': [{'factValue': '2016', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Off Street', 'factLabel': 'Parking'}, {'factValue': '2,500 sqft', 'factLabel': 'lotsize'}, {'factValue': '$296/sqft', 'factLabel': 'Price/sqft'}]}",yes,Portland,"[{'rating': ['3/10', '1/10', '7/10'], 'data': {'Distance': ['0.41mi', '0.53mi', '2.67mi'], 'Grades': ['9-12', 'PK-8', '9-12']}, 'name': ['Jefferson High School', 'Boise-Eliot Elementary School', 'Grant High School']}]","2,771 sqft",97217,4 Beds,OR,3.0,,,19233543,"$819,900"
Active,,Single Family Home,1189 Auburn Lane,2,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$90', 'factLabel': 'Price/sqft'}]}",,Hastings,"[{'rating': ['NR', '4', '5', '5', 'NR', 'NR'], 'data': {'Distance': ['2.6 mi', '3.3 mi', '3.4 mi', '3.3 mi', '3.5 mi', '4.7 mi'], 'Grades': ['K–12', '6–8', '9–12', 'K–5', 'PK–6', '2–7']}, 'name': ['Barry Isd Special Education School', 'Hastings Middle School', 'Hastings High School', 'Central Elementary School', 'St Rose Of Lima Private School', 'Hastings Adventist Elementary Private School']}]","2,060",49058,3.0,MI,,,,161619285,"$185,800"
for sale,,townhouse,1379 Flowing Tide Dr,2.5 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '2,000 sqft', 'factLabel': 'lotsize'}, {'factValue': '$186/sqft', 'factLabel': 'Price/sqft'}]}",,Orlando,"[{'rating': ['5/10', '8/10', '5/10', '7/10', '7/10'], 'data': {'Distance': ['0.07mi', '3.82mi', '2.13mi', '13.43mi', '13.43mi'], 'Grades': ['PK-5', '6-8', '9-12', 'K-8', '9-12']}, 'name': ['Castle Creek Elementary School', 'Avalon Middle School', 'East River High School', 'Cornerstone Academy Charter', 'Cornerstone Charter Academy High School']}]","1,379 sqft",32828,3 Beds,FL,2.0,,yes,,"$256,980"
Active,,,756 58 St ,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '1910', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '2,003 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$990 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Brooklyn,"[{'rating': ['8', '8', '3'], 'data': {'Distance': ['0.3 mi', '0.5 mi', '1.8 mi'], 'Grades': ['K to 5', '6 to 8', '9 to 12']}, 'name': ['PS 69 Vincent D Grippo School', 'Junior High School 220 John J Pershing', 'Franklin Delano Roosevelt High School']}]","2,000",11220,,NY,2,,,426359,"1,980,000"
Active,,,226 SW 13th Ave ,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Miami,"[{'rating': ['4', '10', 'NR', '2', '2'], 'data': {'Distance': ['0.2 mi', '0.7 mi', '16.0 mi', '2.5 mi', '1.3 mi'], 'Grades': ['Preschool to 5', 'Preschool to 8', 'K to 9', '6 to 8', '9 to 12']}, 'name': ['Riverside Elementary Community School', 'Ada Merritt K-8 Center', 'Robert Morgan Voc-Tech Institute', 'Jose de Diego Middle School', 'Booker T. Washington Senior High School']}]",,33135,,FL,,,,A10380204,"300,000"
for sale,,condo,901 Colony Point Cir #119,2 Baths,"{'atAGlanceFacts': [{'factValue': '1980', 'factLabel': 'Year built'}, {'factValue': '1981', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$170/sqft', 'factLabel': 'Price/sqft'}]}",,Pembroke Pines,"[{'rating': ['8/10', '7/10', '9/10'], 'data': {'Distance': ['1.38mi', '1.48mi', '0.63mi'], 'Grades': ['6-8', '9-12', 'PK-5']}, 'name': ['Walter C. Young Middle School', 'Charles W Flanagan High School', 'Pembroke Lakes Elementary School']}]",880 sqft,33026,2 Beds,FL,5.0,,,F10207046,"$150,000"
for sale,,single-family home,4517 20th Rd,4 Baths,"{'atAGlanceFacts': [{'factValue': '1925', 'factLabel': 'Year built'}, {'factValue': '1925', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '2,607 sqft', 'factLabel': 'lotsize'}, {'factValue': '$526/sqft', 'factLabel': 'Price/sqft'}]}",,Long Island City,"[{'rating': ['3/10', '3/10', '8/10', '8/10'], 'data': {'Distance': ['1.23mi', '1.23mi', '0.34mi', '0.34mi'], 'Grades': ['9-12', '9-12', 'K-5', 'K-5']}, 'name': ['William Cullen Bryant High School', 'William Cullen Bryant High School', 'Ps 2 Alfred Zimberg', 'Ps 2 Alfred Zimberg']}]","3,000 sqft",11105,3 Beds,NY,,,,,"$1,578,000"
For sale,Yes,Single Family,24448 Epson Ct,Bathrooms: 3,"{'atAGlanceFacts': [{'factValue': '1987', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '3 spaces', 'factLabel': 'Parking'}, {'factValue': '1.15 acres lot', 'factLabel': 'lotsize'}, {'factValue': '$491', 'factLabel': 'Price/sqft'}]}",,Murrieta,"[{'rating': ['7/10', '6/10', '8/10'], 'data': {'Distance': ['0.5 mi', '0.9 mi', '0.7 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Murrieta Elementary School', 'Thompson Middle School', 'Murrieta Valley High School']}]","Total interior livable area: 1,832 sqft",92562,3 bd,CA,1.0,SW19240910,,,"$899,000"
for sale,,single-family home,612 E 42nd St,2 Baths,"{'atAGlanceFacts': [{'factValue': '1930', 'factLabel': 'Year built'}, {'factValue': '1930', 'factLabel': 'Remodeled year'}, {'factValue': 'Radiant', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '2,000 sqft', 'factLabel': 'lotsize'}, {'factValue': '$446/sqft', 'factLabel': 'Price/sqft'}]}",,Brooklyn,"[{'rating': ['6/10', '5/10'], 'data': {'Distance': ['0.2mi', '1.24mi'], 'Grades': ['PK-5', '6-8']}, 'name': ['Ps 198', 'Andries Hudde School']}]","1,408 sqft",11203,4 Beds,NY,,,,3187590,"$628,000"
for sale,,single-family home,25662 Green River Dr,3 Baths,"{'atAGlanceFacts': [{'factValue': '2006', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.51 acres', 'factLabel': 'lotsize'}, {'factValue': '$148/sqft', 'factLabel': 'Price/sqft'}]}",yes,San Antonio,"[{'rating': ['10/10', '8/10'], 'data': {'Distance': ['25.12mi', '25.12mi'], 'Grades': ['PK-5', '9-12']}, 'name': ['Timberwood Park Elementary School', 'Smithson Valley High School']}]","3,031 sqft",78260,3 Beds,TX,2.0,,,1423092,"$450,000"
Active,,Contemporary/Modern,4815 Corian Oak Dr ,,"{'atAGlanceFacts': [{'factValue': '1982', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': 'Central Gas', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '6,240 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$111 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Kirby,"[{'rating': ['4', '3', '2'], 'data': {'Distance': ['1.2 mi', '1.2 mi', '2.5 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Hopkins Elementary School', 'Kirby Middle School', 'Karen Wagner High School']}]",807,78219,,TX,1,,,43077261,"89,871"
for sale,,condo,1365 Snell Isle Blvd NE #3C,2 Baths,"{'atAGlanceFacts': [{'factValue': '1962', 'factLabel': 'Year built'}, {'factValue': '1973', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$313/sqft', 'factLabel': 'Price/sqft'}]}",,Saint Petersburg,"[{'rating': ['4/10', '2/10', '6/10'], 'data': {'Distance': ['1.42mi', '3.9mi', '3.95mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['North Shore Elementary School', 'John Hopkins Middle School', 'St. Petersburg High School']}]","1,200 sqft",33704,2 Beds,FL,9.0,,yes,U8029971,"$375,000"
For sale,,Single Family,927 Bethel St NE,2 ba,"{'atAGlanceFacts': [{'factValue': '1929', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Wall', 'factLabel': 'Cooling'}, {'factValue': '3 spaces', 'factLabel': 'Parking'}, {'factValue': '8,380 sqft', 'factLabel': 'lotsize'}, {'factValue': '$244', 'factLabel': 'Price/sqft'}]}",,Olympia,"[{'rating': ['7/10', '7/10', '10/10'], 'data': {'Distance': ['0.3 mi', '0.8 mi', '2.1 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Roosevelt Elementary School', 'Reeves Middle School', 'Olympia High School']}]","1,394 sqft",98506,3 bd,WA,,1508531,,,"$339,900"
Active,,,Morningside Dr Lot 2 ,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Charlotte,"[{'rating': ['9', '8', 'NR'], 'data': {'Distance': ['1.9 mi', '4.0 mi', '2.9 mi'], 'Grades': ['Preschool to 8', 'Preschool to 8', '6 to 7']}, 'name': ['Charlotte Central School', 'Hinesburg Elementary School', 'The Acorn School']}]",,5445,,VT,,,,4761154,"100,000"
,,Single Family,6260 SW 106th St,6.0,"{'atAGlanceFacts': [{'factValue': '2007', 'factLabel': 'Year built'}, {'factValue': '2007', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '1.15 acres', 'factLabel': 'lotsize'}, {'factValue': '$396', 'factLabel': 'Price/sqft'}]}",,Pinecrest,"[{'rating': ['10/10', '7/10', '6/10'], 'data': {'Distance': ['11.8 mi', '1.6 mi', '1.5 mi'], 'Grades': ['PK-8', '6-8', '8-12']}, 'name': ['Air Base Elementary School', 'Palmetto Middle School', 'Miami Palmetto Senior High School']}]","5,029",33156,6,FL,2.0,,Yes,A10783847,"$1,990,000"
,,Single Family,7918 Genesse Crk,2.0,"{'atAGlanceFacts': [{'factValue': '2014', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '6,969 sqft', 'factLabel': 'lotsize'}, {'factValue': '$140', 'factLabel': 'Price/sqft'}]}",Not Applicable,San Antonio,"[{'rating': ['8/10', '8/10', 'NA'], 'data': {'Distance': ['1.2 mi', '1.7 mi', '1.6 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Scarborough Elementary School', 'Folks Middle', 'Harlan High S']}]","1,679",78254,3,TX,1.0,,,1424774,"$235,000"
for sale,,townhouse,2555 Flat Shoals Rd #702,3 Baths,"{'atAGlanceFacts': [{'factValue': '2006', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '1,999 sqft', 'factLabel': 'lotsize'}, {'factValue': '$89/sqft', 'factLabel': 'Price/sqft'}]}",,Atlanta,"[{'rating': ['2/10', '2/10', '3/10'], 'data': {'Distance': ['2.64mi', '0.54mi', '0.57mi'], 'Grades': ['9-12', 'PK-5', '6-8']}, 'name': ['Banneker High School', 'Bethune Elementary School', 'Mcnair Middle School']}]","1,408 sqft",30349,2 Beds,GA,2.0,,yes,8691692,"$124,999"
for sale,,single-family home,489 S Country Hill Rd,5 Baths,"{'atAGlanceFacts': [{'factValue': '1968', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.83 acres', 'factLabel': 'lotsize'}, {'factValue': '$400/sqft', 'factLabel': 'Price/sqft'}]}",yes,Anaheim,"[{'rating': ['9/10', '9/10', '9/10'], 'data': {'Distance': ['0.74mi', '3.06mi', '2.02mi'], 'Grades': ['7-8', 'K-6', '9-12']}, 'name': ['El Rancho Charter School', 'Crescent Elementary School', 'Canyon High School']}]","3,046 sqft",92808,5 Beds,CA,2.0,,,OC19246938,"$1,219,900"
Active,,,NONE N Citrus Rd Unit - ,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Waddell,"[{'rating': ['9', '9', '6'], 'data': {'Distance': ['3.8 mi', '4.4 mi', '3.7 mi'], 'Grades': ['Preschool to 6', '5 to 8', '9 to 12']}, 'name': ['Scott L Libby Elementary School', 'Verrado Middle School', 'Verrado High School']}]",,85355,,AZ,,,,5981548,"168,000"
For sale,,Townhouse,9328 World Cup Way,3 ba,"{'atAGlanceFacts': [{'factValue': '2000', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '2,134 sqft', 'factLabel': 'lotsize'}, {'factValue': '$130', 'factLabel': 'Price/sqft'}]}",,Port Saint Lucie,"[{'rating': ['6/10', '5/10'], 'data': {'Distance': ['1.8 mi', '6.4 mi'], 'Grades': ['K-8', '9-12']}, 'name': ['Manatee Academy K-8', 'Fort Pierce Central High School']}]","1,653 sqft",34986,3 bd,FL,,RX-10580558,,,"$214,900"
for sale,,single-family home,2400 Chapel Hill Rd,3 Baths,"{'atAGlanceFacts': [{'factValue': '1910', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport', 'factLabel': 'Parking'}, {'factValue': '0.26 acres', 'factLabel': 'lotsize'}, {'factValue': '$221/sqft', 'factLabel': 'Price/sqft'}]}",yes,Durham,"[{'rating': ['1/10', '4/10', '5/10'], 'data': {'Distance': ['0.22mi', '4.41mi', '1.06mi'], 'Grades': ['PK-5', '9-12', '6-8']}, 'name': ['Lakewood Elementary', 'Charles E Jordan Sr High School', 'Sherwood Githens Middle']}]","2,832 sqft",27707,4 Beds,NC,,,,2284153,"$624,900"
Active,,Traditional,8233 Bay Tree Ln ,,"{'atAGlanceFacts': [{'factValue': '1996', 'factLabel': 'Year built'}, {'factValue': '1996', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.31 Acres', 'factLabel': 'lotsize'}, {'factValue': '$124 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Jacksonville,"[{'rating': ['8', '5', '6'], 'data': {'Distance': ['3.7 mi', '3.0 mi', '2.0 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Mandarin Oaks Elementary School', 'Twin Lakes Academy Middle School', 'Atlantic Coast High School']}]","3,559",32256,,FL,,,,1002934,"440,000"
Active,,Single Family Home,29 Rockwell Ln,2.5,"{'atAGlanceFacts': [{'factValue': '2018', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': 'Central Electric', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '10000', 'factLabel': 'lotsize'}, {'factValue': '$96', 'factLabel': 'Price/sqft'}]}",,Palm Coast,"[{'rating': ['5', '4', '6', '5', 'NR', 'NR', 'NR', 'NR'], 'data': {'Distance': ['1.0 mi', '1.9 mi', '3.8 mi', '1.9 mi', '2.5 mi', '3.0 mi', '0.5 mi', '2.0 mi'], 'Grades': ['PK–6', '7–8', '9–12', 'PK–6', '7–12', 'PK–12', 'PK–5']}, 'name': ['Rymfire Elementary School', 'Buddy Taylor Middle School', 'Flagler-Palm Coast High School', 'Lewis E. Wadsworth Elementary School', 'Flagler County Adult School', 'Flagler Virtual Instruction(Course Offerings) School', 'Palm Coast Christian Private School', 'Christ The King Lutheran Private School']}]",2045,32164,4,FL,Two,,,243069,"$195,990"
for sale,,condo,13536 Turtle Marsh Loop #530,2 Baths,"{'atAGlanceFacts': [{'factValue': '2001', 'factLabel': 'Year built'}, {'factValue': '2001', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1', 'factLabel': 'Parking'}, {'factValue': '0.37 acres', 'factLabel': 'lotsize'}, {'factValue': '$148/sqft', 'factLabel': 'Price/sqft'}]}",,Orlando,"[{'rating': ['6/10', '6/10', '7/10', '7/10', '6/10'], 'data': {'Distance': ['0.52mi', '3.49mi', '7.79mi', '7.79mi', '1.77mi'], 'Grades': ['PK-5', '9-12', 'K-8', '9-12', '6-8']}, 'name': ['Endeavor Elementary School', 'Freedom High School', 'Cornerstone Academy Charter', 'Cornerstone Charter Academy High School', 'Hunters Creek Middle School']}]","1,276 sqft",32837,3 Beds,FL,3.0,,,S5010511,"$188,900"
New construction,,Single Family,Buildable plan: Tiberon High Point,3.0,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'No Data', 'factLabel': 'Heating'}, {'factValue': 'No Data', 'factLabel': 'Cooling'}, {'factValue': 'No Data', 'factLabel': 'Parking'}, {'factValue': 'No Data', 'factLabel': 'lotsize'}, {'factValue': '$342', 'factLabel': 'Price/sqft'}]}",,Seattle,"[{'rating': ['3/10', '6/10', '4/10'], 'data': {'Distance': ['0.1 mi', '0.9 mi', '0.9 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['West Seattle Elementary School', 'Denny Middle School', 'Chief Sealth High School']}]","2,074",98126,4,WA,3,,,,"$709,950"
for sale,,townhouse,7373 Regency Square Ct #7373,3 Baths,"{'atAGlanceFacts': [{'factValue': '1982', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '5.76 acres', 'factLabel': 'lotsize'}, {'factValue': '$84/sqft', 'factLabel': 'Price/sqft'}]}",yes,Houston,"[{'rating': ['2/10', '5/10', '3/10', '9/10'], 'data': {'Distance': ['1.16mi', '3.74mi', '0.86mi', '0.68mi'], 'Grades': ['9-12', '6-8', 'PK-5', 'PK-8']}, 'name': ['Lee High School', 'Revere Middle School', 'Piney Point Elementary School', 'Briarmeadow Charter School']}]","1,533 sqft",77036,2 Beds,TX,2.0,,,14615417,"$129,500"
for sale,,single-family home,5113 Grice Ct,,"{'atAGlanceFacts': [{'factValue': '1957', 'factLabel': 'Year built'}, {'factValue': '1975', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.34 acres', 'factLabel': 'lotsize'}, {'factValue': '$291/sqft', 'factLabel': 'Price/sqft'}]}",yes,Charlotte,"[{'rating': ['8/10', '4/10', '1/10'], 'data': {'Distance': ['2.33mi', '0.63mi', '2.11mi'], 'Grades': ['9-12', 'PK-5', '6-9']}, 'name': ['Myers Park High', 'Pinewood Elementary', 'Sedgefield Middle']}]","1,118 sqft",28210,3 Beds,NC,1.0,,,3563314,"$325,000"
for sale,,condo,7824 Las Canas Ct #7824,3 Baths,"{'atAGlanceFacts': [{'factValue': '1974', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$86/sqft', 'factLabel': 'Price/sqft'}]}",,Jacksonville,"[{'rating': ['4/10', '4/10', '2/10'], 'data': {'Distance': ['2.32mi', '4.28mi', '3.32mi'], 'Grades': ['K-5', '9-12', '6-8']}, 'name': ['Beauclerc Elementary School', 'Englewood High School', 'Southside Middle School']}]","1,737 sqft",32256,3 Beds,FL,,,yes,1016030,"$149,900"
Pre-foreclosure / auction,Yes,Single Family,7632 Hillside Dr,Bathrooms: 2,"{'atAGlanceFacts': [{'factValue': '1964', 'factLabel': 'Year built'}, {'factValue': '1964', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8,624 sqft', 'factLabel': 'lotsize'}, {'factValue': '', 'factLabel': 'Price/sqft'}]}",Yes,Jacksonville,"[{'rating': ['5/10', '2/10', '4/10'], 'data': {'Distance': ['1.7 mi', '3.6 mi', '1.4 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Crystal Springs Elementary School', 'Jefferson Davis Middle School', 'Edward H. White High School']}]","Total interior livable area: 1,245 sqft",32221,3 bd,FL,1.0,,,,"$128,103"
for sale,,single-family home,6744 Biltmore Garden St,3 Baths,"{'atAGlanceFacts': [{'factValue': '2007', 'factLabel': 'Year built'}, {'factValue': '2007', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '2,614 sqft', 'factLabel': 'lotsize'}, {'factValue': '$150/sqft', 'factLabel': 'Price/sqft'}]}",,Las Vegas,"[{'rating': ['None/10', '6/10', '6/10'], 'data': {'Distance': ['1.25mi', '1.63mi', '2.06mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Edmundo Eddie Escobedo Sr Middle School', 'Dean Lamar Allen Elementary School', 'Centennial High School']}]","1,763 sqft",89149,3 Beds,NV,2.0,,,2064663,"$264,500"
